SID;EmptyWeapon;GunPM_HG;GunUDP_HG;GunKiparis_HG;GunM10_HG;GunRhino_HG;GunPP90_HG;GunViper_PP;GunAKU_PP;GunScorpion_PP;Gun2000_PP;GunIntegral_PP;GunZubr_PP;GunAK74_ST;GunM16_ST;GunG36_ST;GunFora_ST;GunGvintar_ST;GunAlpha_ST;GunLavina_ST;GunPKP_MG;GunM249_MG;GunObrez_SG;GunTOZ_SG;GunM860_SG;GunD12_SG;GunRam2_SG;GunSVDM_SP;GunMark_SP;GunM701_SP;GunSVU_SP;;;;;;;;;;;;;;;;;;;;
BaseDamage;-;32;32;23;18;44;28;26;30;26;32;20;36;24;20;27;27;30;33;36;24;28;20;40;40;50;60;60;80;60;40;80;70;;;;;;;;;;;;;;;;;;;;
Accuracy;0;0.7;0.7;0.5;0.3;0.8;0.5;0.7;0.4;0.5;0.6;0.6;0.56;0.35;0.65;0.65;0.65;0.75;0.7;0.75;0.4;0.4;0.45;0.3;0.5;0.3;0.3;0.3;0.9;0.85;0.85;0.9;0.9;;;;;;;;;;;;;;;;;;;;
FireTypes, EFireType array;"SemiAutomatic
Automatic
Queue";SemiAutomatic;SemiAutomatic;Automatic           SemiAutomatic;Automatic           SemiAutomatic;SemiAutomatic;Automatic           SemiAutomatic;Automatic           SemiAutomatic;"SemiAutomatic
Automatic
Queue";Automatic           SemiAutomatic;"SemiAutomatic
Automatic
Queue";Automatic           SemiAutomatic;Automatic           SemiAutomatic;"SemiAutomatic
Automatic
Queue";"SemiAutomatic
Automatic
Queue";"SemiAutomatic
Automatic
Queue";"SemiAutomatic
Automatic
Queue";Automatic           SemiAutomatic;"SemiAutomatic
Automatic
Queue";Automatic           SemiAutomatic;Automatic           SemiAutomatic;Automatic           SemiAutomatic;Automatic           SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;;;;;;;;;;;;;;;;;;;;
DefaultFireType, EFireType;-;SemiAutomatic;SemiAutomatic;Automatic;Automatic;SemiAutomatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;Automatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;SemiAutomatic;;;;;;;;;;;;;;;;;;;;
FireInterval;0;0.15;0.15;0.1;0.1;0.15;0.1;0.1;0.12;0.1;0.1;0.08;0.1;0.12;0.1;0.11;0.12;0.1;0.1;0.12;0.12;0.13;0.1;0.15;0.15;0.35;0.15;0.15;0.3;0.2;0.15;0.3;0.15;;;;;;;;;;;;;;;;;;;;
FireQueueCount;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;12;12;12;12;12;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;
MaxAmmo;0;8;8;20;20;6;25;30;30;30;30;25;30;30;30;30;30;10;30;20;100;100;100;2;2;6;12;12;5;5;10;5;10;;;;;;;;;;;;;;;;;;;;
ReloadTime;0;2;2;2.25;2.25;2.5;2.25;2.5;2.5;2.5;2.5;2.5;2.5;3;3;3;3;3;3;3;4.2;4.2;4.2;1.75;1.75;5.5;3.25;6;5;4;4;5;4;;;;;;;;;;;;;;;;;;;;
FullReloadTime;0;2.50;2.50;2.81;2.81;3.13;2.81;3.13;3.13;3.13;3.13;3.13;3.13;3.75;3.75;3.75;3.75;3.75;3.75;3.75;5.25;5.25;5.25;2.19;2.19;6.88;4.06;7.50;6.25;5.00;5.00;6.25;5.00;;;;;;;;;;;;;;;;;;;;
AmmoCaliber, EAmmoCaliber;-;A918;A045;A918;A045;A045;A918;A919;A545;A919;A919;A919;A919;A545;A556;A556;A545;A939;A545;A939;A762;A762;A556;A012;A012;A012;A012;A012;A762;A762;A762;A762;A762;;;;;;;;;;;;;;;;;;;;
EffectiveFireDistance;0;10;15;22;22;30;30;27;25;27;32;30;40;40;60;60;60;60;70;60;70;70;70;10;20;15;20;18;120;150;100;200;200;;;;;;;;;;;;;;;;;;;;
DispersionRadius;0;100;120;300;300;200;250;250;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;;;;;;;;;;;;;;;;;;;;
PreinstalledAttachments;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;;-;-;;;;;;;;;;;;;;;;;;;;;
AmmoTypeProjectiles;;"AmmoType = Default
Projectile = P918";"AmmoType = Default
Projectile = P045";"AmmoType = Default
Projectile = P918";"AmmoType = Default
Projectile = P045";"AmmoType = Default
Projectile = P045";"AmmoType = Default
Projectile = P918";"AmmoType = Default
Projectile = P919";"AmmoType = Default
Projectile = P545";"AmmoType = Default
Projectile = P919";"AmmoType = Default
Projectile = P919";"AmmoType = Default
Projectile = P919";"AmmoType = Default
Projectile = P919";"AmmoType = Default
Projectile = P545";"AmmoType = Default
Projectile = P556";"AmmoType = Default
Projectile = P556";"AmmoType = Default
Projectile = P545";"AmmoType = Default
Projectile = P939";"AmmoType = Default
Projectile = P545";"AmmoType = Default
Projectile = P939";"AmmoType = Default
Projectile = P762";"AmmoType = Default
Projectile = P762";"AmmoType = Default
Projectile = P556";"AmmoType = Default
Projectile = P012";"AmmoType = Default
Projectile = P012";"AmmoType = Default
Projectile = P012";"AmmoType = Default
Projectile = P012";"AmmoType = Default
Projectile = P012";"AmmoType = Default
Projectile = P762";"AmmoType = Default
Projectile = P762";"AmmoType = Default
Projectile = P762";"AmmoType = Default
Projectile = P762";"AmmoType = Default
Projectile = P762";;;;;;;;;;;;;;;;;;;;
BaseComfort;0;0.9;0.9;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.55;0.55;0.55;0.55;0.7;0.65;0.65;0.4;0.4;0.4;0.8;0.4;0.5;0.45;0.5;0.4;0.3;0.35;0.4;0.6;;;;;;;;;;;;;;;;;;;;
AimingTime;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;;;;;;;;;;;;;;;;;;;;
FireLoudness;0;0.6;0.55;0.55;0.55;0.8;0.55;0.55;0.7;0.55;0.55;0.55;0.55;0.7;0.65;0.65;0.65;0.35;0.65;0.35;0.7;0.7;0.7;0.8;0.8;0.8;0.8;0.8;0.9;0.85;0.65;0.85;0.6;;;;;;;;;;;;;;;;;;;;
MassCoef;0;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;;;;;;;;;;;;;;;;;;;;
SpeedCoef;0;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;;;;;;;;;;;;;;;;;;;;
GravityCoef;0;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;;;;;;;;;;;;;;;;;;;;
Upgrades;;DurabilityUp AccuracyUp ComfortUp BigMagazine ComfortUp2 DurabilityUp2  FireRate  WeightLow ;;;;;;;;;;;;BarrelUpgrade GripKnifeUpgrade BigMagazine FastMagazine FireRate ComfortUp DurabilityUp AccuracyUp WeightLow ChangeToAmmoType FlatnessUp AccuracyUp2  ;;;;;;;;;;;;;;ComfortUp  FireRate DurabilityUp AccuracyUp PicatiniBar FireRate2 ComfortUp2 AccuracyUp2  FlatnessUp  WeightLow PicatiniScopeBar  FlatnessUp2 BigMagazine FastRecoil;;;;;;;;;;;;;;;;;;;;;;;;;
Mesh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FireSounds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ReloadSound;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FullReloadSound;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AimingSound;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MuzzleSocketName;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ShellSocketName;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ShellsSound;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ReferenceWeaponSID;;EmptyWeapon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CompatibleAttachments;"      [*] : struct.begin
         AttachID = gp25launcher
         Muzzle = GrenadeLauncherMuzzle
         Socket = GrenadeLauncherSocket
      struct.end
      [*] : struct.begin
         AttachID = basesilencer
         Muzzle = SilencerMuzzle
         UpgradeRequired = AK47AddSilencerSlot
         Socket = SilencerSocket
      struct.end
      [*] : struct.begin
         AttachID = supersilencer
         Muzzle = SilencerMuzzle
         UpgradeRequired = AK47AddSilencerSlot
         Socket = SilencerSocket 
      struct.end
      [*] : struct.begin
         AttachID = basescope
         Muzzle = 
         Socket = ScopeSocket
      struct.end
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
